image_id, usage, remain_area, combination, arrangement
13,74.35000000000001%,18.47,"A7,B6,C9,D8,E2","{D8:[[1.0, 0.2],[7.6, 0.2],[7.6, 3.7],[1.0, 3.7]],B6:[[7.6, 0.0],[10.0, 0.0],[10.0, 2.7],[7.6, 2.7]],E2:[[7.6, 2.8],[8.6, 2.8],[8.6, 3.8],[7.6, 3.8]],C9:[[4.9, 3.7],[10.0, 3.7],[10.0, 7.2],[4.9, 7.2]],A7:[[0.2, 3.7],[3.2, 3.7],[3.2, 5.4],[0.2, 5.4]]}"
14,74.26%,18.53,"A8,B7,C9,D8,E2","{D8:[[0.4, 3.5],[7.0, 3.5],[7.0, 7.0],[0.4, 7.0]],A8:[[0.1, 1.7],[2.5, 1.7],[2.5, 3.5],[0.1, 3.5]],C9:[[4.2, 0.0],[9.3, 0.0],[9.3, 3.5],[4.2, 3.5]],B7:[[7.0, 4.5],[10.0, 4.5],[10.0, 6.9],[7.0, 6.9]],E2:[[3.1, 2.5],[4.1, 2.5],[4.1, 3.5],[3.1, 3.5]]}"
15,74.24%,18.55000000000001,"A5,B7,C9,D8,E4","{D8:[[0.4, 3.6],[7.0, 3.6],[7.0, 7.1],[0.4, 7.1]],C9:[[3.3, 0.1],[8.4, 0.1],[8.4, 3.6],[3.3, 3.6]],E4:[[1.5, 2.4],[3.0, 2.4],[3.0, 3.6],[1.5, 3.6]],B7:[[7.0, 4.4],[10.0, 4.4],[10.0, 6.8],[7.0, 6.8]],A5:[[0.0, 1.1],[1.4, 1.1],[1.4, 3.6],[0.0, 3.6]]}"
16,74.17%,18.599999999999994,"A7,B7,C8,D8,E3","{D8:[[1.5, 0.1],[8.1, 0.1],[8.1, 3.6],[1.5, 3.6]],C8:[[2.5, 3.6],[7.3, 3.6],[7.3, 7.1],[2.5, 7.1]],E3:[[8.1, 0.9],[9.3, 0.9],[9.3, 1.9],[8.1, 1.9]],B7:[[0.1, 3.6],[2.5, 3.6],[2.5, 6.6],[0.1, 6.6]],A7:[[8.1, 2.7],[9.8, 2.7],[9.8, 5.7],[8.1, 5.7]]}"
17,74.1%,18.65,"A7,B7,C9,D8,E1","{D8:[[3.3, 3.5],[9.9, 3.5],[9.9, 7.0],[3.3, 7.0]],C9:[[2.1, 0.0],[7.2, 0.0],[7.2, 3.5],[2.1, 3.5]],E1:[[7.6, 2.5],[7.7, 2.5],[7.7, 3.5],[7.6, 3.5]],B7:[[0.3, 4.1],[3.3, 4.1],[3.3, 6.5],[0.3, 6.5]],A7:[[8.2, 0.5],[9.9, 0.5],[9.9, 3.5],[8.2, 3.5]]}"
18,74.1%,18.650000000000006,"A6,B7,C9,D8,E4","{D8:[[2.0, 0.2],[8.6, 0.2],[8.6, 3.7],[2.0, 3.7]],C9:[[3.9, 3.7],[9.0, 3.7],[9.0, 7.2],[3.9, 7.2]],B7:[[0.1, 3.7],[3.1, 3.7],[3.1, 6.1],[0.1, 6.1]],A6:[[0.0, 1.6],[2.0, 1.6],[2.0, 3.3],[0.0, 3.3]],E4:[[8.6, 1.9],[9.8, 1.9],[9.8, 3.4],[8.6, 3.4]]}"
19,74.0%,18.72,"A7,B6,C8,D8,E4","{D8:[[0.2, 0.1],[6.8, 0.1],[6.8, 3.6],[0.2, 3.6]],E4:[[6.8, 1.5],[8.3, 1.5],[8.3, 2.7],[6.8, 2.7]],C8:[[4.9, 3.6],[9.7, 3.6],[9.7, 7.1],[4.9, 7.1]],B6:[[1.9, 3.6],[4.6, 3.6],[4.6, 6.0],[1.9, 6.0]],A7:[[0.1, 3.6],[1.8, 3.6],[1.8, 6.6],[0.1, 6.6]]}"
20,73.96000000000001%,18.750000000000007,"A7,B4,C9,D8,E4","{D8:[[0.3, 0.1],[6.9, 0.1],[6.9, 3.6],[0.3, 3.6]],A7:[[6.9, 2.5],[9.9, 2.5],[9.9, 4.2],[6.9, 4.2]],C9:[[0.1, 3.6],[5.2, 3.6],[5.2, 7.1],[0.1, 7.1]],B4:[[6.9, 0.1],[9.9, 0.1],[9.9, 1.9],[6.9, 1.9]],E4:[[5.3, 3.6],[6.8, 3.6],[6.8, 4.8],[5.3, 4.8]]}"
21,73.92%,18.78,"A8,B7,C8,D8,E4","{D8:[[2.6, 3.7],[9.2, 3.7],[9.2, 7.2],[2.6, 7.2]],A8:[[2.7, 1.9],[5.1, 1.9],[5.1, 3.7],[2.7, 3.7]],C8:[[5.2, 0.2],[10.0, 0.2],[10.0, 3.7],[5.2, 3.7]],E4:[[1.1, 5.2],[2.6, 5.2],[2.6, 6.4],[1.1, 6.4]],B7:[[0.2, 1.7],[2.6, 1.7],[2.6, 4.7],[0.2, 4.7]]}"
22,73.89%,18.799999999999997,"A7,B7,C8,D8,E2","{D8:[[0.9, 3.5],[7.5, 3.5],[7.5, 7.0],[0.9, 7.0]],E2:[[2.1, 2.5],[3.1, 2.5],[3.1, 3.5],[2.1, 3.5]],C8:[[3.6, 0.0],[8.4, 0.0],[8.4, 3.5],[3.6, 3.5]],B7:[[7.5, 3.8],[9.9, 3.8],[9.9, 6.8],[7.5, 6.8]],A7:[[0.3, 0.5],[2.0, 0.5],[2.0, 3.5],[0.3, 3.5]]}"
