image_id, usage, remain_area, combination, arrangement
11,79.14%,15.019999999999996,"A7,B6,C8,D8,E1,F1","{D8:[[1.6, 0.2],[8.2, 0.2],[8.2, 3.7],[1.6, 3.7]],E1:[[8.2, 1.8],[9.2, 1.8],[9.2, 2.8],[8.2, 2.8]],C8:[[0.9, 3.7],[5.7, 3.7],[5.7, 7.2],[0.9, 7.2]],A7:[[8.2, 2.8],[9.9, 2.8],[9.9, 5.8],[8.2, 5.8]],B6:[[5.8, 3.7],[8.2, 3.7],[8.2, 6.4],[5.8, 6.4]],F1:[[0.1, 0.3],[1.6, 0.3],[1.6, 3.3],[0.1, 3.3]]}"
12,79.10000000000001%,15.050000000000004,"A7,B4,C9,D8,E1,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],C9:[[3.8, 3.6],[8.9, 3.6],[8.9, 7.1],[3.8, 7.1]],F1:[[8.2, 0.5],[9.7, 0.5],[9.7, 3.5],[8.2, 3.5]],E1:[[2.8, 3.6],[3.8, 3.6],[3.8, 4.6],[2.8, 4.6]],B4:[[0.8, 3.6],[2.6, 3.6],[2.6, 6.6],[0.8, 6.6]],A7:[[0.0, 0.6],[1.7, 0.6],[1.7, 3.6],[0.0, 3.6]]}"
13,79.03%,15.100000000000009,"A5,B7,C8,D8,E3,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],A5:[[8.5, 1.9],[9.9, 1.9],[9.9, 4.4],[8.5, 4.4]],E3:[[8.5, 0.7],[10.0, 0.7],[10.0, 1.9],[8.5, 1.9]],B7:[[5.2, 3.7],[8.2, 3.7],[8.2, 6.1],[5.2, 6.1]],C8:[[0.3, 3.7],[5.1, 3.7],[5.1, 7.2],[0.3, 7.2]],F1:[[0.4, 0.7],[1.9, 0.7],[1.9, 3.7],[0.4, 3.7]]}"
14,78.74%,15.310000000000002,"A4,B7,C9,D8,E3,F1","{D8:[[2.0, 0.2],[8.6, 0.2],[8.6, 3.7],[2.0, 3.7]],B7:[[1.4, 3.7],[4.4, 3.7],[4.4, 6.1],[1.4, 6.1]],C9:[[4.4, 3.7],[9.5, 3.7],[9.5, 7.2],[4.4, 7.2]],F1:[[0.5, 0.4],[2.0, 0.4],[2.0, 3.4],[0.5, 3.4]],A4:[[8.6, 0.4],[10.0, 0.4],[10.0, 2.0],[8.6, 2.0]],E3:[[8.6, 2.1],[9.8, 2.1],[9.8, 3.6],[8.6, 3.6]]}"
15,78.71000000000001%,15.330000000000013,"A7,B3,C9,D8,E3,F1","{D8:[[1.6, 0.2],[8.2, 0.2],[8.2, 3.7],[1.6, 3.7]],C9:[[1.3, 3.7],[6.4, 3.7],[6.4, 7.2],[1.3, 7.2]],B3:[[8.2, 2.4],[10.0, 2.4],[10.0, 4.8],[8.2, 4.8]],E3:[[8.2, 0.8],[9.7, 0.8],[9.7, 2.0],[8.2, 2.0]],A7:[[6.5, 3.7],[8.2, 3.7],[8.2, 6.7],[6.5, 6.7]],F1:[[0.1, 0.4],[1.6, 0.4],[1.6, 3.4],[0.1, 3.4]]}"
16,78.68%,15.350000000000009,"A2,B7,C9,D8,E3,F1","{D8:[[1.6, 0.2],[8.2, 0.2],[8.2, 3.7],[1.6, 3.7]],C9:[[3.6, 3.7],[8.7, 3.7],[8.7, 7.2],[3.6, 7.2]],B7:[[0.5, 3.7],[3.5, 3.7],[3.5, 6.1],[0.5, 6.1]],E3:[[8.2, 2.4],[9.7, 2.4],[9.7, 3.6],[8.2, 3.6]],A2:[[8.2, 0.3],[9.3, 0.3],[9.3, 2.3],[8.2, 2.3]],F1:[[0.1, 0.2],[1.6, 0.2],[1.6, 3.2],[0.1, 3.2]]}"
17,78.64999999999999%,15.370000000000005,"A5,B6,C9,D8,E2,F1","{D8:[[1.8, 0.1],[8.4, 0.1],[8.4, 3.6],[1.8, 3.6]],A5:[[8.4, 0.5],[9.8, 0.5],[9.8, 3.0],[8.4, 3.0]],E2:[[5.8, 3.6],[7.0, 3.6],[7.0, 4.6],[5.8, 4.6]],C9:[[0.6, 3.6],[5.7, 3.6],[5.7, 7.1],[0.6, 7.1]],F1:[[0.3, 0.2],[1.8, 0.2],[1.8, 3.2],[0.3, 3.2]],B6:[[7.3, 3.6],[10.0, 3.6],[10.0, 6.0],[7.3, 6.0]]}"
18,78.51%,15.469999999999999,"A6,B6,C9,D8,E2,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],A6:[[8.2, 0.4],[9.9, 0.4],[9.9, 2.4],[8.2, 2.4]],C9:[[0.9, 3.6],[6.0, 3.6],[6.0, 7.1],[0.9, 7.1]],B6:[[6.7, 3.6],[9.4, 3.6],[9.4, 6.0],[6.7, 6.0]],E2:[[8.2, 2.4],[9.4, 2.4],[9.4, 3.4],[8.2, 3.4]],F1:[[0.2, 0.5],[1.7, 0.5],[1.7, 3.5],[0.2, 3.5]]}"
19,78.46%,15.510000000000005,"A3,B7,C9,D8,E2,F1","{D8:[[1.1, 0.1],[7.7, 0.1],[7.7, 3.6],[1.1, 3.6]],A3:[[7.7, 1.5],[9.9, 1.5],[9.9, 2.7],[7.7, 2.7]],C9:[[0.1, 3.6],[5.2, 3.6],[5.2, 7.1],[0.1, 7.1]],F1:[[7.7, 2.6],[9.2, 2.6],[9.2, 5.6],[7.7, 5.6]],E2:[[7.7, 0.4],[8.9, 0.4],[8.9, 1.4],[7.7, 1.4]],B7:[[5.3, 3.6],[7.7, 3.6],[7.7, 6.6],[5.3, 6.6]]}"
20,78.33%,15.600000000000009,"A7,B2,C9,D8,E3,F1","{D8:[[1.5, 0.1],[8.1, 0.1],[8.1, 3.6],[1.5, 3.6]],E3:[[8.1, 1.0],[9.6, 1.0],[9.6, 2.2],[8.1, 2.2]],C9:[[2.9, 3.6],[8.0, 3.6],[8.0, 7.1],[2.9, 7.1]],B2:[[8.1, 2.4],[9.6, 2.4],[9.6, 5.1],[8.1, 5.1]],A7:[[1.0, 3.6],[2.7, 3.6],[2.7, 6.6],[1.0, 6.6]],F1:[[0.0, 0.4],[1.5, 0.4],[1.5, 3.4],[0.0, 3.4]]}"
21,78.29%,15.63000000000001,"A3,B6,C9,D8,E3,F1","{D8:[[1.5, 0.1],[8.1, 0.1],[8.1, 3.6],[1.5, 3.6]],B6:[[0.4, 3.6],[3.1, 3.6],[3.1, 6.0],[0.4, 6.0]],E3:[[8.1, 2.5],[9.6, 2.5],[9.6, 3.7],[8.1, 3.7]],A3:[[8.1, 0.2],[9.3, 0.2],[9.3, 2.4],[8.1, 2.4]],C9:[[3.2, 3.6],[8.3, 3.6],[8.3, 7.1],[3.2, 7.1]],F1:[[0.0, 0.5],[1.5, 0.5],[1.5, 3.5],[0.0, 3.5]]}"
22,78.22%,15.680000000000007,"A8,B7,C9,D7,E3,F1","{D7:[[1.6, 0.2],[7.5, 0.2],[7.5, 3.7],[1.6, 3.7]],C9:[[2.6, 3.7],[7.7, 3.7],[7.7, 7.2],[2.6, 7.2]],A8:[[7.5, 1.4],[9.9, 1.4],[9.9, 3.2],[7.5, 3.2]],B7:[[0.2, 3.7],[2.6, 3.7],[2.6, 6.7],[0.2, 6.7]],E3:[[7.5, 0.1],[9.0, 0.1],[9.0, 1.3],[7.5, 1.3]],F1:[[0.1, 0.6],[1.6, 0.6],[1.6, 3.6],[0.1, 3.6]]}"
23,78.19%,15.700000000000003,"A5,B7,C8,D8,E2,F1","{D8:[[1.7, 3.6],[8.3, 3.6],[8.3, 7.1],[1.7, 7.1]],C8:[[0.8, 0.1],[5.6, 0.1],[5.6, 3.6],[0.8, 3.6]],F1:[[8.2, 3.8],[9.7, 3.8],[9.7, 6.8],[8.2, 6.8]],E2:[[6.0, 2.6],[7.2, 2.6],[7.2, 3.6],[6.0, 3.6]],B7:[[7.3, 0.6],[9.7, 0.6],[9.7, 3.6],[7.3, 3.6]],A5:[[0.3, 3.9],[1.7, 3.9],[1.7, 6.4],[0.3, 6.4]]}"
