image_id, usage, remain_area, combination, arrangement
11,79.51%,14.75,"A8,B6,C9,D8,E1,F1","{D8:[[1.8, 0.1],[8.4, 0.1],[8.4, 3.6],[1.8, 3.6]],B6:[[7.0, 3.6],[9.7, 3.6],[9.7, 6.0],[7.0, 6.0]],C9:[[0.4, 3.6],[5.5, 3.6],[5.5, 7.1],[0.4, 7.1]],A8:[[0.0, 0.7],[1.8, 0.7],[1.8, 3.1],[0.0, 3.1]],F1:[[8.4, 0.3],[9.9, 0.3],[9.9, 3.3],[8.4, 3.3]],E1:[[5.9, 3.6],[6.9, 3.6],[6.9, 4.6],[5.9, 4.6]]}"
12,79.51%,14.75,"A6,B7,C9,D8,E2,F1","{D8:[[1.6, 0.2],[8.2, 0.2],[8.2, 3.7],[1.6, 3.7]],C9:[[4.5, 3.7],[9.6, 3.7],[9.6, 7.2],[4.5, 7.2]],B7:[[0.1, 3.7],[3.1, 3.7],[3.1, 6.1],[0.1, 6.1]],A6:[[8.2, 0.9],[9.9, 0.9],[9.9, 2.9],[8.2, 2.9]],E2:[[3.3, 3.7],[4.5, 3.7],[4.5, 4.7],[3.3, 4.7]],F1:[[0.1, 0.7],[1.6, 0.7],[1.6, 3.7],[0.1, 3.7]]}"
13,79.49000000000001%,14.77000000000001,"A5,B6,C9,D8,E3,F1","{D8:[[2.0, 0.1],[8.6, 0.1],[8.6, 3.6],[2.0, 3.6]],C9:[[0.7, 3.6],[5.8, 3.6],[5.8, 7.1],[0.7, 7.1]],E3:[[8.6, 0.7],[9.8, 0.7],[9.8, 2.2],[8.6, 2.2]],F1:[[0.5, 0.1],[2.0, 0.1],[2.0, 3.1],[0.5, 3.1]],A5:[[8.6, 2.5],[10.0, 2.5],[10.0, 5.0],[8.6, 5.0]],B6:[[5.9, 3.6],[8.6, 3.6],[8.6, 6.0],[5.9, 6.0]]}"
14,79.42%,14.819999999999993,"A7,B6,C8,D8,E2,F1","{D8:[[2.1, 0.2],[8.7, 0.2],[8.7, 3.7],[2.1, 3.7]],B6:[[4.8, 3.7],[7.5, 3.7],[7.5, 6.1],[4.8, 6.1]],C8:[[0.0, 3.7],[4.8, 3.7],[4.8, 7.2],[0.0, 7.2]],F1:[[0.6, 0.4],[2.1, 0.4],[2.1, 3.4],[0.6, 3.4]],A7:[[7.6, 3.7],[9.3, 3.7],[9.3, 6.7],[7.6, 6.7]],E2:[[8.7, 0.8],[9.9, 0.8],[9.9, 1.8],[8.7, 1.8]]}"
15,79.36999999999999%,14.850000000000001,"A7,B4,C9,D8,E2,F1","{D8:[[1.7, 0.0],[8.3, 0.0],[8.3, 3.5],[1.7, 3.5]],E2:[[8.3, 0.8],[9.5, 0.8],[9.5, 1.8],[8.3, 1.8]],A7:[[8.3, 2.0],[10.0, 2.0],[10.0, 5.0],[8.3, 5.0]],C9:[[0.3, 3.5],[5.4, 3.5],[5.4, 7.0],[0.3, 7.0]],F1:[[0.2, 0.2],[1.7, 0.2],[1.7, 3.2],[0.2, 3.2]],B4:[[5.6, 3.5],[7.4, 3.5],[7.4, 6.5],[5.6, 6.5]]}"
16,79.36999999999999%,14.850000000000009,"A5,B7,C9,D8,E1,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],E1:[[8.5, 1.0],[9.5, 1.0],[9.5, 2.0],[8.5, 2.0]],C9:[[0.3, 3.7],[5.4, 3.7],[5.4, 7.2],[0.3, 7.2]],B7:[[5.6, 3.7],[8.6, 3.7],[8.6, 6.1],[5.6, 6.1]],A5:[[8.5, 2.6],[9.9, 2.6],[9.9, 5.1],[8.5, 5.1]],F1:[[0.4, 0.6],[1.9, 0.6],[1.9, 3.6],[0.4, 3.6]]}"
17,79.33%,14.879999999999995,"A8,B7,C8,D8,E2,F1","{D8:[[1.9, 0.0],[8.5, 0.0],[8.5, 3.5],[1.9, 3.5]],E2:[[8.5, 0.1],[9.7, 0.1],[9.7, 1.1],[8.5, 1.1]],C8:[[0.1, 3.5],[4.9, 3.5],[4.9, 7.0],[0.1, 7.0]],A8:[[7.4, 3.5],[9.8, 3.5],[9.8, 5.3],[7.4, 5.3]],F1:[[0.4, 0.2],[1.9, 0.2],[1.9, 3.2],[0.4, 3.2]],B7:[[4.9, 3.5],[7.3, 3.5],[7.3, 6.5],[4.9, 6.5]]}"
18,79.24%,14.950000000000003,"A6,B7,C9,D8,E1,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],A6:[[8.3, 0.4],[10.0, 0.4],[10.0, 2.4],[8.3, 2.4]],E1:[[8.3, 2.6],[9.3, 2.6],[9.3, 3.6],[8.3, 3.6]],C9:[[0.4, 3.6],[5.5, 3.6],[5.5, 7.1],[0.4, 7.1]],F1:[[0.2, 0.4],[1.7, 0.4],[1.7, 3.4],[0.2, 3.4]],B7:[[6.9, 3.6],[9.9, 3.6],[9.9, 6.0],[6.9, 6.0]]}"
19,79.17%,15.0,"A8,B6,C8,D8,E3,F1","{D8:[[1.8, 0.1],[8.4, 0.1],[8.4, 3.6],[1.8, 3.6]],C8:[[3.0, 3.6],[7.8, 3.6],[7.8, 7.1],[3.0, 7.1]],B6:[[0.1, 3.6],[2.8, 3.6],[2.8, 6.0],[0.1, 6.0]],E3:[[8.4, 0.6],[9.9, 0.6],[9.9, 1.8],[8.4, 1.8]],F1:[[8.4, 1.8],[9.9, 1.8],[9.9, 4.8],[8.4, 4.8]],A8:[[0.0, 0.6],[1.8, 0.6],[1.8, 3.0],[0.0, 3.0]]}"
20,79.14%,15.019999999999996,"A7,B6,C8,D8,E1,F1","{D8:[[1.9, 3.5],[8.5, 3.5],[8.5, 7.0],[1.9, 7.0]],E1:[[3.6, 2.5],[4.6, 2.5],[4.6, 3.5],[3.6, 3.5]],C8:[[4.9, 0.0],[9.7, 0.0],[9.7, 3.5],[4.9, 3.5]],F1:[[8.5, 3.5],[10.0, 3.5],[10.0, 6.5],[8.5, 6.5]],B6:[[0.2, 1.1],[2.9, 1.1],[2.9, 3.5],[0.2, 3.5]],A7:[[0.2, 4.2],[1.9, 4.2],[1.9, 7.2],[0.2, 7.2]]}"
